external_id,name,province,admin_zone,current_precision,current_lat,current_lng,google_lat,google_lng,status,location_type,partial_match,formatted_address,place_id,quality_reason
a36d5713864d240a,บริษัท สักทอง (ไทย) จำกัด,นนทบุรี,อำเภอเมืองนนทบุรี,city,13.8428962,100.4937886,13.9088173,100.4434873,OK,APPROXIMATE,TRUE,หมู่ที่ 1 ตำบล บางบัวทอง อำเภอปากเกร็ด นนทบุรี 11110 ประเทศไทย,ChIJs6sjPGOF4jARJP-0f2_KbB8,low confidence location_type=APPROXIMATE
b25bbd438215967a,บริษัท ดี.พี.เซรามิคส์ จำกัด,กรุงเทพมหานคร,เขตลาดพร้าว,approximate,13.8088703,100.6177644,13.6850441,100.5467076,OK,GEOMETRIC_CENTER,TRUE,"43, Soi Saphan Khu, Rama 4 Road, Thung Mahamek, Khet Sathon, Bangkok, 10120, แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120 ประเทศไทย",ChIJqTKDfuGh4jARpOGv-YGVER4,low confidence location_type=GEOMETRIC_CENTER
ec77b3951969353c,บริษัท ริคโค่ กรุ๊ป (ประเทศไทย) จำก,ปทุมธานี,อำเภอเมืองปทุมธานี,city,14.0203964,100.5340426,13.9430228,100.6410662,OK,ROOFTOP,TRUE,หมู่ที่ 18 ตำบลคูคต อำเภอลำลูกกา ปทุมธานี 12130 ประเทศไทย,ChIJs-KQwel9HTERu0WOYvJkr6A,partial match without matching house number
43178480711a158a,บริษัท วอทเอฟเวอร์ ดีไซน์ แอนด์ คอนซัลท์ จํากัด,กรุงเทพมหานคร,เขตลาดพร้าว,approximate,13.8088703,100.6177644,13.6850441,100.5467076,OK,GEOMETRIC_CENTER,TRUE,"43, Soi Saphan Khu, Rama 4 Road, Thung Mahamek, Khet Sathon, Bangkok, 10120, แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120 ประเทศไทย",ChIJqTKDfuGh4jARpOGv-YGVER4,low confidence location_type=GEOMETRIC_CENTER
fbd464bee5822024,บริษัท โอนเนอร์ เมท กรุ๊ป จำกัด,สมุทรปราการ,อำเภอเมืองสมุทรปราการ,city,13.5981041,100.6011757,13.6358434,100.6305736,OK,APPROXIMATE,TRUE,หมู่ที่ 5 ตำบล สำโรงเหนือ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10270 ประเทศไทย,ChIJI7B11HlfHTERU0Ns5dXvxrc,low confidence location_type=APPROXIMATE
96152e7d2a18404b,บริษัท ซัคเซส แอนด์ ริช คอนสตรัคชั่น จำกัด,นนทบุรี,อำเภอเมืองนนทบุรี,city,13.8428962,100.4937886,13.9765775,100.3454579,OK,APPROXIMATE,TRUE,หมู่ 7 ไทรน้อย อำเภอไทรน้อย นนทบุรี 11150 ประเทศไทย,ChIJ1eLoov6L4jAR5-MNd-BWesA,low confidence location_type=APPROXIMATE
acca1a17d133844e,บริษัท เอ เอส พาวเวอร์ แอสแซท จำกัด,นครนายก,อำเภอเมืองนครนายก,city,14.203647,101.2147087,14.2038387,101.2268773,OK,APPROXIMATE,TRUE,ตำบล นครนายก อำเภอเมืองนครนายก นครนายก 26000 ประเทศไทย,ChIJMTChBCauHTERQNwMRTeSAQQ,low confidence location_type=APPROXIMATE
4b2c6789a6806da2,บริษัท เพาเวอร์ เบรน ไซน์ จำกัด,นนทบุรี,อำเภอเมืองนนทบุรี,city,13.8428962,100.4937886,13.8539060,100.4971099,OK,RANGE_INTERPOLATED,TRUE,9 เลี่ยงเมืองนนทบุรี ซ. 5 ตำบลตลาดขวัญ อำเภอเมืองนนทบุรี นนทบุรี 11000 ประเทศไทย,Ems5IE5vbnRoYWJ1cmkgQnlwYXRoIFJkIDUsIFRhbWJvbiBUYWxhdCBLd2FuLCBBbXBob2UgTXVlYW5nIE5vbnRoYWJ1cmksIENoYW5nIFdhdCBOb250aGFidXJpIDExMDAwLCBUaGFpbGFuZCIwEi4KFAoSCbnbysI8m-IwERTlBIFoLZD2EAkqFAoSCev_iUU9m-IwEVPUCrUiL82Z,partial match without matching house number
2545d111f0517792,บริษัท สตูดิโอ เอ็นดีที จำกัด,นนทบุรี,อำเภอเมืองนนทบุรี,city,13.8428962,100.4937886,13.9235362,100.3947116,OK,APPROXIMATE,TRUE,นนทบุรี ประเทศไทย,ChIJO6t2z8CE4jARpO5V399Gdpg,low confidence location_type=APPROXIMATE
700444b3edc8996c,บริษัท บ้านธนูศร จำกัด,นนทบุรี,อำเภอเมืองนนทบุรี,city,13.8428962,100.4937886,13.9088173,100.4434873,OK,APPROXIMATE,TRUE,หมู่ที่ 1 ตำบล บางบัวทอง อำเภอปากเกร็ด นนทบุรี 11110 ประเทศไทย,ChIJs6sjPGOF4jARJP-0f2_KbB8,low confidence location_type=APPROXIMATE
